Unnamed: 0,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
25,Coaster,['Khalid'],0.935,0.441,199120,0.219,0.0,8,0.115,-14.586,1,0.0419,94.021,4,0.244,-0.6374,-0.6374,0.2313,Sad
26,Her,['Majid Jordan'],0.00372,0.675,300729,0.5,0.00268,1,0.114,-6.6,1,0.0516,90.029,4,0.0709,0.9967,0.9967,0.0908,Sad
27,More Than Enough,['Alina Baraz'],0.26,0.648,151462,0.531,0.000897,2,0.12,-5.886,0,0.0345,143.008,4,0.253,0.9432,0.9432,0.2719,Sad
28,LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",0.264,0.8,213400,0.585,0.0,10,0.153,-7.343,1,0.0924,126.058,4,0.779,-0.9351,-0.9351,0.7603,Sad
29,Morning,['Marc E. Bassy'],0.563,0.462,206080,0.438,0.0,10,0.181,-8.227,1,0.0953,107.364,3,0.342,0.9736,0.9736,0.3615,Sad
30,Nights Like This (feat. Ty Dolla $ign),"['Kehlani', 'Ty Dolla $ign']",0.367,0.61,201788,0.725,0.0,8,0.154,-5.131,1,0.15,146.163,4,0.291,0.9986,0.9986,0.311,Sad
31,Streets,['Doja Cat'],0.208,0.749,226987,0.463,0.0371,11,0.337,-8.433,1,0.0828,90.028,4,0.19,0.9959,0.9959,0.2099,Sad
32,Take Care of You (feat. Syd),"['Charlotte Day Wilson', 'Syd']",0.822,0.683,213071,0.486,0.0227,4,0.276,-9.726,0,0.11,126.985,4,0.279,-0.6011,-0.6011,0.267,Sad
33,Saved,['Khalid'],0.189,0.739,206533,0.448,0.0,10,0.118,-10.28,0,0.138,81.044,4,0.553,0.996,0.996,0.5729,Sad
34,Be the One - Remix,"['Sinead Harnett', 'Col3trane']",0.687,0.576,191237,0.426,6.03e-06,3,0.173,-6.367,0,0.102,102.246,4,0.389,0.9409,0.9409,0.4078,Sad
35,Novacane,['Frank Ocean'],0.0542,0.763,302347,0.516,0.000689,3,0.162,-9.267,1,0.115,93.5,4,0.363,0.9537,0.9537,0.3821,Sad
36,Primrose,['Kwaku Asante'],0.414,0.552,254617,0.632,0.0394,4,0.189,-8.764,1,0.0733,140.04,4,0.441,0.9816,0.9816,0.4606,Sad
37,Hate The Club (feat. Masego),"['Kehlani', 'Masego']",0.456,0.663,278715,0.626,7.25e-06,1,0.0984,-4.756,1,0.0567,105.026,4,0.494,-0.897,-0.897,0.4761,Sad
38,Sure Thing,['Miguel'],0.0267,0.684,195373,0.607,0.000307,11,0.191,-8.127,0,0.1,81.001,4,0.498,0.9981,0.9981,0.518,Sad
39,Stole My Love,['Jay Isaiah'],0.566,0.777,211034,0.472,0.0,0,0.105,-10.24,1,0.0418,116.059,4,0.429,-0.9998,-0.9998,0.409,Sad
40,Think About Me,['dvsn'],0.0607,0.547,246240,0.294,0.786,7,0.0933,-10.202,1,0.0482,105.027,4,0.11,0.9892,0.9892,0.1298,Sad
41,While We're Young,['Jhené Aiko'],0.104,0.649,236160,0.791,1.97e-06,2,0.108,-6.013,1,0.193,128.023,4,0.811,0.9939,0.9939,0.8309,Sad
42,From Time,"['Drake', 'Jhené Aiko']",0.626,0.738,322160,0.491,0.0,1,0.126,-9.726,0,0.413,94.378,4,0.448,0.9985,0.9985,0.468,Sad
43,My Affection (with PARTYNEXTDOOR),"['Summer Walker', 'PARTYNEXTDOOR']",0.333,0.632,213933,0.495,0.0,7,0.0941,-8.335,1,0.143,77.083,4,0.233,-0.969,-0.969,0.2136,Sad
44,Good & Plenty,"['Alex Isley', 'Masego', 'Jack Dine']",0.788,0.658,204706,0.619,0.0667,9,0.0951,-7.316,0,0.0772,136.077,4,0.354,0.97,0.97,0.3734,Sad
45,Right My Wrongs,['Bryson Tiller'],0.345,0.543,249320,0.449,0.0,1,0.157,-8.065,1,0.0463,132.609,4,0.29,-0.9156,-0.9156,0.2717,Sad
46,Can I,['Kehlani'],0.419,0.574,167810,0.791,0.0,1,0.0982,-3.752,1,0.11,119.537,4,0.612,0.7253,0.7253,0.6265,Sad
47,True Colors,['The Weeknd'],0.286,0.624,206013,0.424,0.0,1,0.173,-8.237,1,0.24,76.671,4,0.584,0.9989,0.9989,0.604,Sad
48,PERSIAN RUGS,['PARTYNEXTDOOR'],0.0489,0.768,174307,0.428,0.000491,1,0.105,-8.156,0,0.0459,110.478,4,0.147,0.9839,0.9839,0.1667,Sad
49,"Psycho, Pt. 2",['Russ'],0.775,0.766,161985,0.548,5.57e-06,10,0.1,-4.29,1,0.235,82.944,4,0.424,-0.9848,-0.9848,0.4043,Sad
50,"CINDERELLA, Pt. 2",['CHIKA'],0.489,0.58,130882,0.317,3.45e-06,6,0.112,-10.769,1,0.137,176.959,3,0.338,0.9619,0.9619,0.3572,Sad
51,Jaded,['Drake'],0.037,0.764,262453,0.271,0.0,0,0.175,-5.697,1,0.0414,116.019,4,0.0371,0.9705,0.9705,0.0565,Sad
52,Angels,['Khalid'],0.959,0.472,170680,0.265,0.000499,6,0.1,-10.059,0,0.0356,111.558,4,0.204,-0.211,-0.211,0.1998,Sad
53,Touch & Go,"['Tinashe', '6LACK']",0.438,0.665,255455,0.506,9.8e-06,8,0.104,-10.872,0,0.0462,132.032,4,0.216,0.8097,0.8097,0.2322,Sad
54,The Morning,['The Weeknd'],0.317,0.652,312427,0.549,0.0,6,0.104,-7.555,0,0.039,120.073,4,0.186,0.7481,0.7481,0.201,Sad
55,Inhale,['Bryson Tiller'],0.321,0.498,171173,0.705,0.000441,9,0.414,-8.088,0,0.392,156.519,4,0.571,0.9966,0.9966,0.5909,Sad
56,Thinkin Bout You,['Frank Ocean'],0.409,0.721,200747,0.339,0.00153,0,0.0973,-11.195,1,0.0532,129.83,4,0.2,-0.8722,-0.8722,0.1826,Sad
57,Come Thru (with Usher),"['Summer Walker', 'Usher']",0.159,0.679,181013,0.728,0.0,5,0.107,-3.092,0,0.154,152.001,4,0.46,0.9351,0.9351,0.4787,Sad
58,Redemption,['Drake'],0.611,0.694,333947,0.314,2.07e-06,0,0.117,-7.82,1,0.116,119.905,4,0.341,0.9955,0.9955,0.3609,Sad
59,Missin You Crazy,['Russ'],0.0991,0.716,226693,0.729,0.0,5,0.0842,-6.313,1,0.117,131.975,4,0.276,0.9915,0.9915,0.2958,Sad
60,Shot Down,['Khalid'],0.885,0.769,209185,0.511,0.000186,6,0.106,-6.673,1,0.0609,123.954,4,0.507,0.9865,0.9865,0.5267,Sad
61,Losing,['H.E.R.'],0.339,0.422,225780,0.349,0.00024,4,0.108,-12.424,0,0.315,57.0,4,0.134,0.9864,0.9864,0.1537,Sad
62,Don't,['Bryson Tiller'],0.223,0.765,198293,0.356,0.0,11,0.0963,-5.556,0,0.195,96.991,4,0.189,-0.9653,-0.9653,0.1697,Sad
63,Bacc Seat (feat. Ty Dolla $ign),"['Roddy Ricch', 'Ty Dolla $ign']",0.0404,0.783,172320,0.524,0.0,1,0.087,-6.828,1,0.115,144.989,4,0.153,0.6081,0.6081,0.1652,Sad
64,Juke Jam (feat. Justin Bieber & Towkio),"['Chance the Rapper', 'Justin Bieber', 'Towkio']",0.716,0.505,219683,0.397,0.0,5,0.0853,-9.349,1,0.324,95.063,1,0.558,0.9988,0.9988,0.578,Sad
65,Honest,['Xavier Omär'],0.841,0.321,170249,0.317,0.00234,6,0.095,-10.963,0,0.0463,83.962,4,0.253,-0.909,-0.909,0.2348,Sad
66,Summer 2020,['Jhené Aiko'],0.831,0.401,196000,0.485,0.000292,6,0.0907,-10.787,0,0.216,169.949,4,0.54,0.9948,0.9948,0.5599,Sad
67,Whoa,['Snoh Aalegra'],0.121,0.665,199179,0.516,0.00152,0,0.105,-11.27,0,0.0642,93.983,4,0.494,0.9674,0.9674,0.5133,Sad
68,Doing It Wrong,['Drake'],0.841,0.397,265120,0.172,6.78e-05,6,0.108,-15.698,0,0.0445,101.275,4,0.123,-0.9529,-0.9529,0.1039,Sad
69,Come and See Me (feat. Drake),"['PARTYNEXTDOOR', 'Drake']",0.0538,0.807,235477,0.346,2.55e-06,2,0.087,-10.275,1,0.0613,84.98,4,0.0608,0.9889,0.9889,0.0806,Sad
70,Tuscan Leather,['Brent Ewing'],0.0747,0.663,174576,0.487,0.0,6,0.121,-5.309,0,0.0383,133.958,4,0.121,,,0.121,Sad
71,Losin Control,['Russ'],0.51,0.761,240065,0.247,0.000275,6,0.0968,-6.597,1,0.145,97.013,4,0.262,0.8965,0.8965,0.2799,Sad
72,This Way - From SUPERFLY - Original Soundtrack,"['Khalid', 'H.E.R.']",0.694,0.62,211205,0.282,0.0,5,0.119,-10.533,0,0.0464,124.609,3,0.193,0.9998,0.9998,0.213,Sad
73,Hurt You,"['The Weeknd', 'Gesaffelstein']",0.3,0.484,230027,0.716,0.00214,5,0.112,-7.193,0,0.167,184.131,4,0.365,0.984,0.984,0.3847,Sad
74,'Flawless' Do It Well Pt. 3 (feat. Summer Walker),"['dvsn', 'Summer Walker']",0.216,0.607,231489,0.42,0.0,5,0.129,-9.307,0,0.0595,140.639,4,0.643,0.8168,0.8168,0.6593,Sad
75,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),"['Dreamville', 'Ari Lennox', 'Omen', 'Ty Dolla $ign', 'Dreezy']",0.145,0.664,284040,0.61,0.0,7,0.097,-6.432,0,0.339,76.024,4,0.472,0.9844,0.9844,0.4917,Sad
76,Love and Be Loved,"['Zenesoul', 'Aaron Ridge']",0.623,0.691,207203,0.258,3.6e-06,5,0.077,-10.463,1,0.0323,106.155,3,0.329,0.9989,0.9989,0.349,Sad
77,Location,['Khalid'],0.455,0.764,224000,0.262,0.0249,1,0.104,-17.074,0,0.446,80.047,4,0.29,0.8657,0.8657,0.3073,Sad
78,Marvins Room,['Drake'],0.649,0.412,347587,0.254,0.00124,9,0.0841,-17.448,0,0.0964,168.068,4,0.332,-0.4884,-0.4884,0.3222,Sad
79,oui,['Jeremih'],0.203,0.41,238320,0.726,0.0,5,0.107,-3.845,1,0.15,77.226,5,0.552,0.8834,0.8834,0.5697,Sad
80,Alone,['Russ'],0.0874,0.537,178773,0.528,0.0,11,0.0855,-7.666,0,0.208,96.931,4,0.124,0.755,0.755,0.1391,Sad
81,I Fall Apart,['Post Malone'],0.0689,0.556,223347,0.538,0.0,8,0.196,-5.408,0,0.0382,143.95,4,0.291,-0.9711,-0.9711,0.2716,Sad
82,Wake Up Love,"['Teyana Taylor', 'Iman.']",0.502,0.583,215329,0.766,1.79e-06,11,0.159,-4.743,0,0.405,131.374,3,0.203,0.9943,0.9943,0.2229,Sad
83,The Way (feat. Chance the Rapper),"['Kehlani', 'Chance the Rapper']",0.389,0.746,262521,0.538,0.0,10,0.139,-6.479,1,0.32,101.018,4,0.516,-0.9902,-0.9902,0.4962,Sad
84,Best Thing,['Inayah'],0.593,0.712,188839,0.469,0.0,8,0.125,-5.616,0,0.0405,93.04,4,0.383,0.9992,0.9992,0.403,Sad
85,Clear My Mind,['Dee Gatti'],0.481,0.592,155460,0.411,0.0,11,0.101,-8.459,0,0.307,135.905,4,0.0649,0.9968,0.9968,0.0848,Sad
86,Between The Lines,"['Gwen Bunn', 'Faith Evans']",0.101,0.514,223397,0.483,1.43e-06,6,0.3,-8.202,0,0.0405,103.694,4,0.231,0.9872,0.9872,0.2507,Sad
87,Wicked Games,['The Weeknd'],0.00959,0.658,323747,0.591,5.27e-06,9,0.325,-5.197,1,0.0309,114.078,4,0.326,-0.9971,-0.9971,0.3061,Sad
88,Shot For Me,['Drake'],0.0555,0.566,224720,0.465,0.0,2,0.567,-11.714,1,0.235,143.015,4,0.177,0.8597,0.8597,0.1942,Sad
89,235 (2:35 I Want You),['Ashanti'],0.363,0.607,231429,0.677,0.0,11,0.302,-5.858,0,0.175,139.974,4,0.211,0.9961,0.9961,0.2309,Sad
90,Let Me Love You,['Mario'],0.235,0.656,256733,0.578,0.0,7,0.118,-8.97,0,0.0922,94.514,4,0.556,0.9987,0.9987,0.576,Sad
91,Dark Times,"['The Weeknd', 'Ed Sheeran']",0.106,0.585,260640,0.421,9.54e-06,7,0.14,-9.593,1,0.0707,132.986,3,0.24,0.9866,0.9866,0.2597,Sad
0,Audi.,['Smokepurpp'],0.0214,0.793,159522,0.366,0.0,7,0.0964,-10.051,1,0.136,122.991,4,0.278,-0.9985,-0.9985,0.258,Angry
1,Gospel,"['Rich Brian', 'Keith Ape', 'XXXTENTACION']",0.000856,0.681,173294,0.659,8.17e-06,9,0.11,-6.405,1,0.268,156.004,4,0.225,-0.9923,-0.9923,0.2052,Angry
2,Take A Step Back,"['Ski Mask The Slump God', 'XXXTENTACION']",0.104,0.808,210387,0.581,0.0,6,0.379,-8.793,1,0.269,116.988,4,0.722,-0.9993,-0.9993,0.702,Angry
3,DNA.,['Kendrick Lamar'],0.00454,0.638,185947,0.523,0.0,1,0.0842,-6.664,1,0.357,139.913,4,0.422,-0.9754,-0.9754,0.4025,Angry
4,You're Now Tuning Into 66.6 FM With DJ Rapture (The Hottest Hour Of The Evening),['$uicideboy$'],0.125,0.678,133903,0.77,0.0,6,0.184,-3.206,0,0.145,75.009,4,0.284,-0.9976,-0.9976,0.264,Angry
5,Perses (feat. Dash),"['Fat Nick', 'Dash']",0.00319,0.753,220150,0.839,0.00707,4,0.0738,-6.289,1,0.201,132.957,4,0.309,-0.9989,-0.9989,0.289,Angry
6,Killa,['Young Pappy'],0.199,0.676,203012,0.787,0.0,0,0.175,-6.175,0,0.246,119.986,4,0.601,-0.9999,-0.9999,0.581,Angry
7,No Heart No Love (feat. Project Pat),"['Juicy J', 'Project Pat']",0.0643,0.928,243293,0.724,0.0,1,0.261,-3.46,1,0.195,136.032,4,0.648,-0.9964,-0.9964,0.6281,Angry
8,"F**k Out My Face (feat. B-Real, Onyx & Aston Matthews)","['A$AP Ferg', 'B-Real', 'Onyx', 'A$Ton Matthews']",0.103,0.783,236493,0.717,0.0,9,0.27,-6.718,1,0.462,130.072,4,0.595,,,0.595,Angry
9,Dump Dump,['A$AP Ferg'],0.207,0.65,214827,0.638,0.0,8,0.266,-5.94,1,0.127,134.044,4,0.418,-0.9997,-0.9997,0.398,Angry
10,Shabba (feat. A$AP Rocky),"['A$AP Ferg', 'A$AP Rocky']",0.0715,0.869,275867,0.712,0.0,9,0.272,-6.136,1,0.103,120.0,4,0.435,-0.7506,-0.7506,0.42,Angry
11,I'm so Groovy,['Future'],0.0418,0.938,261752,0.478,0.00884,1,0.0801,-9.739,1,0.265,138.059,4,0.386,-0.9974,-0.9974,0.3661,Angry
12,F 'em,['Chief Keef'],0.00304,0.764,196258,0.544,0.0,6,0.0673,-9.639,0,0.278,128.993,4,0.544,-0.9992,-0.9992,0.524,Angry
13,Laughin' To The Bank,['Chief Keef'],0.0537,0.728,227120,0.836,0.0,11,0.442,-6.577,0,0.266,129.932,4,0.529,0.9978,0.9978,0.549,Angry
14,Fuck Her Brains Out,['Montana of 300'],0.104,0.741,302376,0.861,0.0,6,0.281,-3.543,1,0.0309,115.005,4,0.889,-0.9985,-0.9985,0.869,Angry
15,6th Sense,['Kodak Black'],0.0056,0.761,194297,0.617,0.0,1,0.17,-5.022,1,0.0564,80.52,4,0.295,0.9945,0.9945,0.3149,Angry
16,Mase in '97,"['Carnage', 'Lil Yachty']",0.308,0.684,100009,0.785,2.69e-05,11,0.15,-3.903,1,0.274,143.84,4,0.486,0.8044,0.8044,0.5021,Angry
17,Bricks (feat. Migos),"['Carnage', 'Migos']",0.198,0.8,263430,0.706,0.0,8,0.118,-6.134,1,0.327,145.938,4,0.394,0.999,0.999,0.414,Angry
18,I Like Tuh,"['Carnage', 'ILOVEMAKONNEN']",0.337,0.598,187561,0.564,0.0,1,0.379,-3.89,0,0.0684,174.909,4,0.546,0.9956,0.9956,0.5659,Angry
19,DipSet,"['Lil Yachty', 'Offset']",0.459,0.772,172907,0.55,0.0,1,0.229,-6.914,1,0.166,114.941,4,0.148,-0.9979,-0.9979,0.128,Angry
20,BabyWipe,['Ski Mask The Slump God'],0.0261,0.886,168640,0.516,0.0,1,0.375,-8.377,1,0.263,148.055,4,0.583,0.9925,0.9925,0.6028,Angry
21,Who Is That,['Chief Keef'],0.287,0.684,260441,0.771,0.0,9,0.109,-6.782,0,0.293,130.249,4,0.609,-0.9978,-0.9978,0.589,Angry
22,Mr. Clean,['Yung Gravy'],0.786,0.717,210861,0.76,0.000188,9,0.107,-4.892,1,0.164,106.32,4,0.669,0.9911,0.9911,0.6888,Angry
23,The Human Centipede,['Ski Mask The Slump God'],0.182,0.902,140356,0.675,0.0,2,0.12,-6.717,1,0.164,130.118,4,0.62,-0.9996,-0.9996,0.6,Angry
24,Dresser,['Yung Bans'],0.034,0.833,155533,0.513,1.56e-06,1,0.111,-7.454,1,0.225,75.023,4,0.262,-0.9901,-0.9901,0.2422,Angry
25,20 Joints,['Berner'],0.251,0.836,190287,0.731,0.0,6,0.0679,-7.396,0,0.146,100.861,4,0.766,-0.2421,-0.2421,0.7612,Angry
26,Look At Me!,['XXXTENTACION'],0.259,0.763,126346,0.726,0.0,1,0.0976,-6.405,1,0.282,139.059,4,0.349,-0.9971,-0.9971,0.3291,Angry
27,Broke Boi,['Playboi Carti'],0.000893,0.833,189322,0.423,2.43e-05,1,0.135,-10.296,1,0.383,142.078,4,0.255,-0.9995,-0.9995,0.235,Angry
28,"Young N***a Living (feat. A$AP Ferg, A$AP Ant & A$AP Twelvyy)","['A$AP Mob', 'A$AP Ferg', 'A$AP ANT', 'A$AP Twelvyy']",0.114,0.761,258880,0.696,0.0,11,0.559,-5.811,0,0.241,114.957,4,0.272,-0.9539,-0.9539,0.2529,Angry
29,Achoo,"['Keith Ape', 'Ski Mask The Slump God']",0.167,0.659,244000,0.839,0.0,2,0.389,-4.106,1,0.162,119.935,4,0.624,-0.9998,-0.9998,0.604,Angry
30,Did You Really,['Ski Mask The Slump God'],0.333,0.774,90305,0.578,0.0,7,0.433,-9.442,1,0.218,96.859,4,0.762,0.56,0.56,0.7732,Angry
31,Daddy Issues,['Pouya'],0.097,0.732,145610,0.599,2.9e-05,2,0.0771,-8.044,1,0.367,164.116,4,0.321,0.9574,0.9574,0.3401,Angry
32,Out,['Yung Bans'],0.0286,0.866,125681,0.438,1.12e-06,0,0.0839,-7.134,0,0.234,83.992,4,0.373,-0.9582,-0.9582,0.3538,Angry
33,WTF!?,['Ski Mask The Slump God'],0.217,0.931,143760,0.54,0.0,1,0.186,-5.214,1,0.305,105.061,1,0.495,0.9615,0.9615,0.5142,Angry
34,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)","['Keith Ape', 'A$AP Ferg', 'Father', 'Dumbfoundead', 'Waka Flocka Flame']",0.061,0.787,300000,0.743,0.0,1,0.294,-4.206,1,0.0642,102.076,4,0.454,-0.9965,-0.9965,0.4341,Angry
35,Life Is Short,['Ski Mask The Slump God'],0.254,0.743,140657,0.411,0.0,2,0.292,-7.343,1,0.376,119.693,4,0.339,-0.9106,-0.9106,0.3208,Angry
36,It Don't Matter,['Wifisfuneral'],0.165,0.777,130638,0.742,0.0,5,0.0957,-8.223,1,0.289,125.0,4,0.605,-0.9788,-0.9788,0.5854,Angry
37,Ni**as In Paris,"['JAY-Z', 'Kanye West']",0.0763,0.757,219320,0.882,0.0,1,0.251,-6.125,1,0.248,140.047,4,0.684,0.9819,0.9819,0.7036,Angry
38,745,['Vince Staples'],0.115,0.785,227560,0.476,0.00165,1,0.092,-9.805,1,0.115,118.931,4,0.223,0.9915,0.9915,0.2428,Angry
39,Death Is Long,['Ski Mask The Slump God'],0.367,0.833,112562,0.578,0.0,1,0.388,-10.449,1,0.32,122.338,4,0.553,-0.8201,-0.8201,0.5366,Angry
40,F***Umean (feat. Indigochildrick),"['Robb Bank$', 'IndigoChildRick']",0.00801,0.934,201475,0.548,0.0,4,0.314,-6.976,0,0.262,119.961,4,0.164,,,0.164,Angry
41,Like A Soccer Mom,['Ski Mask The Slump God'],0.112,0.78,109819,0.654,0.0,10,0.12,-7.641,0,0.076,140.007,4,0.713,-0.97,-0.97,0.6936,Angry
42,STAR,['BROCKHAMPTON'],0.147,0.776,161000,0.388,0.0,0,0.394,-9.143,1,0.282,75.01,4,0.294,-0.7474,-0.7474,0.2791,Angry
43,Ilovewhitebitches!,['Samron Agnew'],0.000292,0.845,72792,0.715,0.00617,0,0.39,-5.851,1,0.0324,111.056,4,0.868,-0.8724,-0.8724,0.8506,Angry
44,Drank Head,['Chief Keef'],0.546,0.752,233739,0.429,0.0,4,0.177,-10.746,1,0.18,115.091,4,0.671,-0.9966,-0.9966,0.6511,Angry
45,Location,['Playboi Carti'],0.33,0.717,168784,0.79,0.000125,11,0.518,-4.213,1,0.2,125.985,4,0.371,0.9978,0.9978,0.391,Angry
46,I Got Top in Bikini Bottom (feat. Kg Smokey),"['Joey Trap', 'Kg Smokey']",0.164,0.85,88939,0.714,0.0,8,0.11,-4.331,0,0.268,145.909,4,0.549,-0.6162,-0.6162,0.5367,Angry
47,Squidwards Nose (feat. Kg Prince),"['Joey Trap', 'Kg Smokey', 'Kg Prince']",0.169,0.634,119249,0.88,0.0,1,0.474,-1.714,1,0.293,150.959,4,0.548,-0.9961,-0.9961,0.5281,Angry
48,RocketShip Freestyle,['Joey Trap'],0.0726,0.86,115250,0.588,0.0,9,0.371,-7.971,1,0.258,128.959,4,0.241,-0.9966,-0.9966,0.2211,Angry
49,So Thick (feat. Joey Trap),"['Joey Trap', 'Kg Smokey']",0.523,0.926,170000,0.519,0.0,5,0.103,-6.5,0,0.0901,129.958,4,0.565,-0.9998,-0.9998,0.545,Angry
50,Plug Walk,['Rich The Kid'],0.224,0.882,175511,0.503,0.0,11,0.108,-6.618,1,0.179,95.011,4,0.176,-0.9883,-0.9883,0.1562,Angry
51,King Cobra (Drippin'),"['$uicideboy$', 'Germ']",0.00149,0.876,120059,0.653,0.0,1,0.0944,-5.329,1,0.0778,127.927,3,0.128,-0.992,-0.992,0.1082,Angry
52,Flo Rida,"['Higher Brothers', 'Ski Mask The Slump God']",0.109,0.9,208048,0.649,0.0,5,0.0825,-3.79,1,0.269,129.985,4,0.442,-0.9951,-0.9951,0.4221,Angry
53,Bank Account,['21 Savage'],0.0151,0.884,220307,0.346,7.04e-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376,0.2654,0.2654,0.3813,Angry
54,Antarctica,['$uicideboy$'],0.553,0.726,126850,0.634,4.43e-06,2,0.0916,-6.844,1,0.0792,105.975,5,0.318,-0.9764,-0.9764,0.2985,Angry
55,Magazine,['$uicideboy$'],0.267,0.881,131500,0.903,0.00253,8,0.109,-0.955,1,0.0813,119.994,4,0.272,-0.9987,-0.9987,0.252,Angry
56,Lonely,['Akon'],0.307,0.633,235067,0.529,0.0,5,0.342,-7.85,0,0.0339,90.08,4,0.578,-0.9987,-0.9987,0.558,Angry
